Nb_of_items,item,cahs_price,make,model,Nbr_of_prod_purchas
0,1,17,889.0,8,50,1
1,1,16,409.0,8,303,1
2,1,57,1399.0,153,2284,1
3,2,17,689.0,8,33,1
4,1,57,1199.0,165,2404,1
5,1,16,369.0,8,278,1
6,2,57,1299.0,165,2413,1
7,1,17,1187.0,8,54,1
8,1,17,1899.0,8,79,1
9,1,17,898.0,8,50,1
10,1,57,1178.0,109,929,1
11,1,57,799.0,153,2301,1
12,1,17,569.0,8,82,1
13,1,16,379.0,8,294,1
14,1,17,1899.0,8,79,1
15,3,17,717.0,8,63,1
16,2,17,2129.0,8,2,1
17,2,12,1600.0,146,1791,1
18,1,17,749.0,8,63,1
19,3,41,1500.0,146,1166,1
20,1,57,1299.0,165,2404,1
21,1,16,399.0,8,328,1
22,2,57,1299.0,153,2301,1
23,1,16,298.0,8,323,1
24,1,57,1599.0,153,2280,1
25,1,17,1798.0,8,55,1
26,2,42,1249.0,146,1221,1
27,3,17,2425.0,8,81,1
28,3,17,1099.0,8,73,1
29,1,17,889.0,8,50,1
30,3,17,689.0,196,2837,1
31,1,57,1199.0,109,927,1
32,2,57,1699.0,109,937,1
33,1,17,1149.0,8,54,1
34,3,41,1949.0,146,1166,1
35,3,17,999.0,8,71,1
36,1,17,879.0,153,2234,1
37,1,42,1899.0,146,1541,1
38,1,17,499.0,8,82,1
39,1,55,1099.0,8,223,1
40,1,16,649.0,8,338,1
41,2,17,749.0,8,63,1
42,2,17,1849.0,8,8,1
43,2,17,889.0,8,50,1
44,1,57,799.0,109,922,1
45,4,17,1999.0,8,74,1
46,1,16,359.0,153,2246,1
47,2,4,1395.0,26,1166,1
48,2,17,1152.0,8,51,1
49,1,16,369.0,8,326,1
50,1,17,552.0,8,33,1
51,1,57,1299.0,140,1105,1
52,1,16,399.0,8,327,1
53,1,17,1649.0,8,59,1
54,2,16,399.0,8,331,1
55,1,57,1599.0,153,2268,1
56,1,17,734.0,8,63,1
57,1,16,469.0,8,336,1
58,2,17,1899.0,8,79,1
59,3,42,1119.0,146,1296,1
60,1,17,1769.0,8,79,1
61,1,54,949.0,153,2227,1
62,3,42,1699.0,146,1512,1
63,1,41,899.0,146,1166,1
64,2,57,1999.0,109,937,1
65,2,16,369.0,8,324,1
66,2,17,2155.0,8,79,1
67,1,17,1379.0,8,54,1
68,2,17,556.0,8,33,1
69,2,57,1799.0,153,2301,1
70,1,57,3079.0,153,2275,1
71,1,42,2195.0,173,2595,1
72,4,17,1117.0,8,50,1
73,1,17,889.0,8,50,1
74,2,57,1299.0,109,929,1
75,2,16,379.0,8,297,1
76,1,33,1639.0,80,699,1
77,1,12,1399.0,85,739,1
78,2,17,630.0,8,48,1
79,2,17,2099.0,8,10,1
80,1,57,1999.0,153,2264,1
81,2,55,399.0,8,244,1
82,1,57,1185.0,109,931,1
83,2,57,1299.0,153,2267,1
84,1,17,1159.0,8,54,1
85,3,17,899.0,8,50,1
86,1,16,379.0,8,298,1
87,2,55,774.0,8,188,1
88,1,16,379.0,8,300,1
89,1,57,829.0,165,2405,1
90,1,57,2499.0,109,939,1
91,1,17,949.0,8,50,1
92,2,17,893.0,8,50,1
93,2,55,774.0,8,188,1
94,2,17,1150.0,8,54,1
95,2,56,1198.0,109,1066,1
96,1,16,499.0,8,344,1
97,1,57,1099.0,109,924,1
98,1,17,1187.0,8,54,1
99,1,17,1763.0,8,79,1
100,2,17,949.0,8,50,1
101,1,40,650.0,51,1166,1
102,2,16,369.0,8,326,1
103,2,17,1379.0,8,54,1
104,2,46,799.0,146,1178,1
105,1,42,1699.0,146,2001,1
106,1,16,369.0,8,324,1
107,9,42,899.0,146,1352,1
108,1,42,1049.0,146,1568,1
109,1,17,2129.0,8,4,1
110,2,15,749.0,8,293,1
111,1,55,1548.0,8,188,2
112,2,54,399.0,8,249,1
113,1,33,1099.0,80,696,1
114,1,16,409.0,153,2246,1
115,2,17,2599.0,8,81,1
116,2,41,1799.0,172,1166,1
117,4,17,899.0,8,48,1
118,4,17,489.0,153,2231,1
119,2,17,539.0,8,34,1
120,2,57,1799.0,109,937,1
121,3,57,1999.0,109,937,1
122,1,17,749.0,8,63,1
123,1,16,379.0,8,294,1
124,1,57,899.0,153,2301,1
125,1,57,1199.0,109,929,1
126,1,17,887.0,8,50,1
127,1,57,1199.0,109,914,1
128,1,17,1052.0,8,73,1
129,2,57,1999.0,165,2407,1
130,2,17,1358.0,8,51,1
131,2,17,949.0,8,50,1
132,1,16,409.0,8,300,1
133,1,17,889.0,8,50,1
134,2,17,1449.0,8,76,1
135,2,17,719.0,8,82,1
136,2,15,349.0,8,293,1
137,2,17,1785.0,8,53,1
138,1,17,579.0,8,33,1
139,1,17,999.0,8,71,1
140,4,42,599.0,146,1348,1
141,6,42,1199.0,146,1513,1
142,3,17,1799.0,8,53,1
143,3,17,869.0,8,46,1
144,1,16,399.0,8,330,1
145,1,16,379.0,8,298,1
146,2,17,939.0,8,46,1
147,2,17,949.0,8,49,1
148,2,8,1999.0,184,1166,1
149,1,16,369.0,8,326,1
150,1,17,899.0,8,67,1
151,1,17,1899.0,8,79,1
152,1,17,489.0,153,2231,1
153,1,17,893.0,8,50,1
154,2,54,349.0,153,2207,1
155,1,17,899.0,8,68,1
156,1,16,798.0,8,327,2
157,1,42,2079.0,78,657,1
158,2,17,999.0,8,70,1
159,3,17,1379.0,8,54,1
160,1,17,893.0,8,50,1
161,1,42,1499.0,172,2113,1
162,1,17,949.0,8,50,1
163,2,15,409.0,8,268,1
164,1,12,1040.0,146,1782,1
165,1,17,999.0,8,68,1
166,2,17,889.0,8,50,1
167,1,17,1358.0,8,54,1
168,2,16,409.0,8,303,1
169,1,55,674.0,8,207,1
170,1,17,949.0,8,50,1
171,1,17,887.0,8,50,1
172,3,17,999.0,8,71,1
173,1,57,899.0,109,927,1
174,1,17,999.0,153,2232,1
175,1,16,399.0,8,329,1
176,4,45,518.0,99,1166,2
177,1,54,499.0,153,2221,1
178,1,17,949.0,8,50,1
179,2,17,899.0,8,50,1
180,3,17,699.0,8,48,1
181,2,17,1249.0,8,59,1
182,7,42,699.0,146,1959,1
183,1,5,1530.0,26,403,1
184,1,16,369.0,8,324,1
185,1,16,499.0,8,340,1
186,3,17,1099.0,8,73,1
187,1,17,889.0,8,50,1
188,1,57,1099.0,109,924,1
189,3,17,1052.0,8,73,1
190,1,57,2199.0,109,939,1
191,2,55,649.0,8,173,1
192,1,17,899.0,8,50,1
193,1,17,949.0,8,50,1
194,2,17,749.0,8,63,1
195,2,17,1899.0,8,79,1
196,1,16,369.0,8,324,1
197,1,57,1199.0,109,929,1
198,3,16,749.0,8,314,1
199,2,28,399.0,51,525,1
200,2,17,1199.0,8,7,1
201,1,17,1319.0,8,54,1
202,1,16,299.0,8,289,1
203,3,17,549.0,8,33,1
204,2,57,1199.0,109,924,1
205,1,16,369.0,8,326,1
206,1,16,369.0,8,278,1
207,2,55,774.0,8,188,1
208,2,17,1099.0,8,73,1
209,3,12,799.0,146,1166,1
210,1,57,899.0,109,926,1
211,3,17,979.0,8,49,1
212,1,16,399.0,8,329,1
213,2,17,1152.0,8,51,1
214,1,57,799.0,109,922,1
215,1,16,399.0,8,280,1
216,1,17,1099.0,8,73,1
217,2,17,719.0,8,63,1
218,2,16,409.0,8,303,1
219,2,56,1198.0,109,1066,1
220,2,57,1389.0,153,2268,1
221,1,17,2425.0,8,81,1
222,1,17,1549.0,8,53,1
223,2,17,999.0,8,77,1
224,1,57,2999.0,165,2410,1
225,3,55,774.0,8,188,1
226,1,16,369.0,8,326,1
227,1,16,369.0,8,326,1
228,1,16,369.0,8,322,1
229,1,17,1049.0,8,67,1
230,6,42,1299.0,172,2097,1
231,2,17,1379.0,8,54,1
232,2,57,1499.0,109,932,1
233,2,15,379.0,8,293,1
234,3,17,2399.0,8,79,1
235,3,17,2399.0,8,79,1
236,1,17,1187.0,8,51,1
237,2,16,409.0,8,300,1
238,2,16,399.0,8,330,1
239,2,41,799.0,146,1166,1
240,2,57,2299.0,153,2295,1
241,2,17,1449.0,8,59,1
242,2,55,774.0,8,207,1
243,2,17,1117.0,8,50,1
244,1,57,1099.0,153,2310,1
245,3,57,1699.0,109,937,1
246,1,57,1699.0,109,937,1
247,2,17,1159.0,8,54,1
248,1,16,399.0,8,329,1
249,2,17,1379.0,8,51,1
250,2,17,889.0,8,50,1
251,1,16,369.0,8,326,1
252,1,54,379.0,153,2207,1
253,3,12,729.0,146,1943,1
254,2,57,1699.0,109,937,1
255,1,42,1349.0,88,767,1
256,3,17,1649.0,8,59,1
257,3,41,2049.0,196,2837,1
258,2,17,1099.0,8,73,1
259,2,16,379.0,8,271,1
260,1,17,2599.0,8,81,1
261,6,46,999.0,99,804,1
262,1,54,549.0,8,253,1
263,1,42,2849.0,146,1559,1
264,2,17,898.0,8,50,1
265,2,17,937.0,8,49,1
266,1,57,1299.0,109,929,1
267,1,17,889.0,8,50,1
268,1,17,889.0,8,50,1
269,1,17,749.0,8,63,1
270,2,57,2299.0,153,2274,1
271,1,12,1640.0,175,2626,1
272,2,15,379.0,8,293,1
273,1,12,1095.0,146,2009,1
274,3,16,369.0,8,277,1
275,2,17,2599.0,8,81,1
276,3,17,1735.0,8,79,1
277,1,57,1799.0,153,2301,1
278,2,17,937.0,8,49,1
279,6,12,839.0,85,743,1
280,1,17,569.0,8,82,1
281,1,17,898.0,8,50,1
282,1,16,399.0,8,329,1
283,2,16,369.0,8,326,1
284,1,57,1799.0,153,2285,1
285,2,42,1399.0,146,1854,1
286,1,17,1099.0,8,73,1
287,3,17,887.0,8,50,1
288,3,56,2098.0,109,1073,1
289,1,57,1199.0,153,2301,1
290,1,17,893.0,8,50,1
291,3,42,777.0,146,2153,3
292,1,17,549.0,8,33,1
293,1,12,1179.0,193,2773,1
294,2,17,550.0,8,33,1
295,1,42,1799.0,146,1537,1
296,2,57,2799.0,109,942,1
297,1,17,549.0,8,33,1
298,2,16,499.0,8,343,1
299,1,57,1299.0,109,929,1
300,1,57,499.0,109,899,1
301,1,57,1199.0,153,2266,1
302,2,17,579.0,8,34,1
303,2,17,550.0,8,34,1
304,3,17,749.0,8,63,1
305,1,17,949.0,8,50,1
306,4,17,1999.0,8,53,1
307,2,9,749.0,146,1666,1
308,1,17,899.0,8,46,1
309,2,55,774.0,8,188,1
310,4,17,1459.0,8,53,1
311,2,17,929.0,8,50,1
312,1,57,1679.0,109,937,1
313,1,17,929.0,8,50,1
314,2,17,887.0,8,50,1
315,3,9,729.0,190,2736,1
316,1,57,1399.0,153,2265,1
317,2,17,529.0,8,34,1
318,1,57,1499.0,109,929,1
319,2,17,409.0,8,19,1
320,1,17,887.0,8,50,1
321,1,16,369.0,8,324,1
322,1,16,599.0,8,338,1
323,1,12,1850.0,146,1787,1
324,1,16,379.0,8,295,1
325,2,17,849.0,8,65,1
326,8,46,899.0,146,1457,1
327,2,55,549.0,8,244,1
328,1,17,965.0,8,71,1
329,1,12,1439.0,85,729,1
330,2,57,899.0,109,926,1
331,2,12,799.0,172,2106,1
332,1,17,889.0,8,50,1
333,1,16,369.0,8,324,1
334,1,17,1899.0,8,79,1
335,1,17,1187.0,8,54,1
336,2,17,579.0,8,33,1
337,1,16,399.0,8,328,1
338,1,16,409.0,8,303,1
339,2,17,1117.0,8,50,1
340,1,57,1299.0,165,2411,1
341,2,16,499.0,8,347,1
342,1,57,1049.0,165,2395,1
343,3,42,799.0,146,1494,1
344,1,17,799.0,153,2232,1
345,2,17,959.0,8,71,1
346,3,17,1555.0,8,55,1
347,1,17,552.0,8,33,1
348,1,17,599.0,8,40,1
349,1,17,749.0,8,63,1
350,2,57,2799.0,153,2275,1
351,1,17,959.0,8,71,1
352,1,42,2249.0,146,1560,1
353,2,17,2470.0,8,3,1
354,1,16,369.0,8,324,1
355,1,57,1189.0,165,2404,1
356,2,57,1199.0,165,2411,1
357,1,17,1117.0,8,50,1
358,2,17,1117.0,8,50,1
359,2,54,409.0,153,2207,1
360,1,57,1174.0,165,2404,1
361,1,17,1299.0,8,75,1
362,3,17,2149.0,8,76,1
363,1,54,600.0,153,2221,1
364,1,17,1379.0,8,54,1
365,1,17,1187.0,8,54,1
366,2,57,1799.0,153,2268,1
367,2,17,749.0,196,2837,1
368,2,17,1099.0,8,73,1
369,1,17,889.0,8,50,1
370,4,17,959.0,8,71,1
371,1,17,1649.0,8,59,1
372,1,57,1199.0,153,2301,1
373,3,17,556.0,8,34,1
374,2,16,379.0,8,294,1
375,1,17,849.0,8,48,1
376,1,17,1769.0,8,79,1
377,2,16,349.0,8,324,1
378,1,16,394.0,8,329,1
379,1,17,849.0,8,65,1
380,22,42,2090.0,173,2553,2
381,2,17,1899.0,8,79,1
382,2,17,1187.0,8,54,1
383,2,46,999.0,146,1929,1
384,1,57,1099.0,109,924,1
385,2,55,724.0,8,188,1
386,4,41,550.0,7,1166,2
387,1,17,849.0,8,69,1
388,1,17,1187.0,8,51,1
389,1,16,399.0,8,329,1
390,2,17,1358.0,8,54,1
391,2,12,898.0,146,1973,2
392,2,17,1187.0,8,54,1
393,2,61,1020.0,79,691,6
394,1,57,1499.0,165,2406,1
395,2,42,1349.0,146,1432,1
396,1,17,929.0,8,49,1
397,3,17,1080.0,8,73,1
398,2,57,838.0,109,926,1
399,2,17,889.0,8,50,1
400,1,16,364.0,8,322,1
401,1,17,1735.0,8,79,1
402,3,17,2999.0,8,78,1
403,1,17,749.0,8,63,1
404,2,55,774.0,8,188,1
405,1,55,1099.0,8,236,1
406,2,12,1549.0,85,739,1
407,2,56,3299.0,165,796,1
408,1,16,369.0,8,324,1
409,3,57,1999.0,109,937,1
410,1,57,1388.0,153,2268,1
411,1,16,369.0,8,326,1
412,3,17,569.0,8,82,1
413,1,16,379.0,8,295,1
414,2,57,1589.0,153,2268,1
415,1,17,1899.0,8,79,1
416,1,17,1249.0,8,76,1
417,1,57,899.0,165,2392,1
418,3,17,556.0,8,33,1
419,1,16,699.0,8,342,1
420,2,17,937.0,8,49,1
421,2,17,569.0,8,82,1
422,2,17,1299.0,8,75,1
423,1,17,893.0,8,50,1
424,2,17,889.0,8,50,1
425,2,17,1899.0,8,79,1
426,2,55,1199.0,8,236,1
427,2,57,1000.0,109,927,1
428,3,17,1379.0,8,54,1
429,3,17,2399.0,8,81,1
430,1,17,556.0,8,33,1
431,2,57,2399.0,165,2407,1
432,1,17,1769.0,8,79,1
433,1,16,369.0,8,326,1
434,4,17,749.0,8,63,1
435,2,17,1152.0,8,51,1
436,1,16,369.0,8,324,1
437,1,16,399.0,8,329,1
438,2,17,689.0,8,33,1
439,1,17,949.0,8,50,1
440,2,17,1249.0,8,76,1
441,2,42,2034.0,193,2756,6
442,1,16,359.0,8,322,1
443,2,17,929.0,8,50,1
444,1,17,937.0,8,49,1
445,1,16,369.0,8,324,1
446,1,57,1139.0,165,2398,1
447,1,17,749.0,8,63,1
448,1,17,889.0,8,50,1
449,1,56,1798.0,109,1071,1
450,4,46,500.0,146,2179,2
451,1,17,949.0,8,50,1
452,1,42,1724.0,146,1398,1
453,1,17,999.0,8,71,1
454,4,57,1799.0,109,932,1
455,2,17,2599.0,8,81,1
456,2,17,1159.0,8,54,1
457,1,57,1208.0,109,934,1
458,2,15,349.0,8,293,1
459,3,17,1769.0,8,79,1
460,1,17,949.0,8,50,1
461,1,17,949.0,8,50,1
462,1,17,949.0,8,50,1
463,2,54,774.0,8,194,1
464,1,16,399.0,8,329,1
465,1,17,889.0,8,50,1
466,1,17,1379.0,8,54,1
467,2,17,1159.0,8,54,1
468,1,17,1699.0,8,53,1
469,1,16,369.0,8,324,1
470,2,57,1299.0,109,929,1
471,1,54,1199.0,153,2227,1
472,2,17,887.0,8,50,1
473,7,47,285.0,47,991,1
474,1,57,1049.0,165,2411,1
475,1,12,1400.0,146,1780,1
476,2,56,3199.0,109,1075,1
477,2,17,1199.0,8,50,1
478,1,17,1649.0,8,59,1
479,1,17,569.0,8,82,1
480,2,57,2199.0,109,939,1
481,2,17,691.0,8,33,1
482,2,54,999.0,153,2250,1
483,2,17,949.0,8,50,1
484,1,16,369.0,8,326,1
485,6,42,764.0,172,2525,1
486,2,12,1399.0,193,2781,1
487,1,16,379.0,8,295,1
488,1,16,409.0,8,299,1
489,1,57,1179.0,165,2406,1
490,2,17,889.0,8,50,1
491,3,56,3199.0,109,1075,1
492,2,57,779.0,109,926,1
493,2,57,1199.0,109,929,1
494,3,17,1149.0,8,59,1
495,1,17,1899.0,8,79,1
496,1,54,349.0,153,2207,1
497,2,8,979.0,190,1166,1
498,1,17,2299.0,8,10,1
499,2,17,569.0,8,82,1
500,2,16,334.0,153,2246,1
501,4,17,749.0,8,63,1
502,3,17,999.0,8,71,1
503,1,41,1498.0,146,1166,2
504,2,17,1899.0,8,79,1
505,1,17,569.0,8,82,1
506,1,16,499.0,8,344,1
507,1,17,899.0,8,50,1
508,2,17,929.0,8,50,1
